# NASA POWER daily point,lat=-2.5547,lon=120.3242,grid_elev_m=658.23,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960320,1.5,5.3942,-999.0,5.0016,-999.0,23.88,26.81,21.49,87.64,1.57,2.05,0.94,93.53
19960321,11.44,6.0725,-999.0,3.996,-999.0,24.03,26.97,21.48,86.8,1.42,1.75,0.85,93.62
19960322,35.48,5.0292,-999.0,3.6336,-999.0,23.97,26.43,22.36,88.71,1.51,2.19,0.98,93.67
19960323,11.86,5.3342,-999.0,3.8112,-999.0,23.14,25.14,21.5,91.45,1.5,2.31,0.94,93.71
19960324,33.72,4.5384,-999.0,3.7104,-999.0,23.21,24.95,22.11,92.82,1.39,2.24,0.89,93.67
19960325,8.98,5.2889,-999.0,3.4032,-999.0,22.38,24.48,21.14,92.73,0.9,1.9,0.57,93.64
19960326,20.07,5.1396,-999.0,3.84,-999.0,22.93,24.81,20.93,90.22,0.98,1.72,0.61,93.59
19960327,53.75,5.0371,-999.0,4.2912,-999.0,23.74,26.24,22.0,90.46,1.27,1.59,0.79,93.47
19960328,16.74,6.1882,-999.0,3.3168,-999.0,23.69,27.22,21.5,86.9,1.26,1.84,0.78,93.57
19960329,5.39,4.6205,-999.0,3.9864,-999.0,23.0,24.58,21.75,93.0,1.41,1.98,0.85,93.62
19960330,3.24,5.8954,-999.0,4.3944,-999.0,23.92,26.96,22.07,91.15,1.67,2.44,1.04,93.55
19960331,1.32,5.3705,-999.0,4.2768,-999.0,24.16,27.51,21.55,86.24,1.52,2.12,0.97,93.57
19960401,1.51,5.9467,-999.0,3.6336,-999.0,24.48,27.21,22.82,86.87,1.33,1.54,0.82,93.55
19960402,19.01,5.3724,-999.0,3.228,-999.0,23.03,24.38,21.73,92.02,1.26,1.91,0.81,93.59
19960403,8.86,3.6082,-999.0,2.8776,-999.0,23.65,26.53,22.05,86.02,1.13,2.22,0.73,93.68
19960404,0.23,4.89,-999.0,3.9144,-999.0,23.79,26.31,21.82,83.86,0.76,1.23,0.49,93.7
19960405,12.1,5.9309,-999.0,3.5952,-999.0,24.02,25.84,22.17,85.86,1.0,1.5,0.65,93.67
19960406,4.5,5.244,-999.0,4.3848,-999.0,24.03,26.47,21.98,82.4,0.69,1.47,0.45,93.71
19960407,1.65,4.9642,-999.0,3.912,-999.0,24.64,27.65,21.8,83.42,1.03,1.71,0.63,93.68
19960408,3.01,4.3925,-999.0,4.0632,-999.0,24.49,27.27,23.04,88.97,0.83,1.41,0.52,93.6
19960409,0.91,4.2401,-999.0,3.876,-999.0,23.52,25.99,21.43,88.26,0.91,1.88,0.54,93.59
19960410,19.59,5.6153,-999.0,3.3072,-999.0,23.75,26.44,22.04,87.63,0.93,1.6,0.58,93.6
19960411,12.81,4.2384,-999.0,4.02,-999.0,23.61,26.64,21.21,86.95,1.23,1.8,0.79,93.74
19960412,22.92,3.8138,-999.0,3.336,-999.0,23.5,25.59,22.19,86.77,0.61,1.08,0.41,93.83
19960413,37.78,5.1677,-999.0,3.0648,-999.0,23.04,25.54,21.21,88.6,1.33,1.81,0.8,93.89
19960414,16.14,5.435,-999.0,4.1328,-999.0,22.77,24.13,21.58,95.0,1.85,2.83,1.12,93.91
19960415,10.79,5.5778,-999.0,4.1376,-999.0,23.58,26.63,20.97,87.3,1.4,1.75,0.85,93.76
19960416,15.21,5.4497,-999.0,4.1904,-999.0,23.54,25.86,21.81,88.49,1.02,1.64,0.68,93.65
19960417,5.86,5.7007,-999.0,3.5808,-999.0,23.47,26.65,20.74,87.33,1.32,2.0,0.83,93.73
19960418,48.02,5.8085,-999.0,3.9888,-999.0,23.54,26.62,20.6,87.49,1.51,2.15,0.95,93.72
19960419,19.84,5.9974,-999.0,3.0552,-999.0,23.61,26.51,20.71,85.79,1.31,1.81,0.81,93.7
19960420,11.63,4.8199,-999.0,4.3536,-999.0,23.77,25.57,22.45,91.44,1.22,2.21,0.8,93.65
19960421,2.68,4.5516,-999.0,4.1688,-999.0,23.53,26.52,21.97,87.81,1.26,1.89,0.77,93.74
19960422,1.39,5.617,-999.0,3.6984,-999.0,23.2,25.92,21.63,89.16,1.29,2.41,0.84,93.79
