# NASA POWER daily point,lat=-0.79355,lon=100.28917,grid_elev_m=81.29,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960606,14.96,4.9478,-999.0,3.204,-999.0,27.25,27.82,26.91,87.25,3.53,4.51,3.14,99.84
19960607,26.65,4.2686,-999.0,4.0704,-999.0,27.25,27.59,26.83,89.16,4.82,6.72,4.18,99.81
19960608,16.11,3.8266,-999.0,3.6432,-999.0,27.38,27.74,27.12,87.57,6.01,8.61,5.1,99.75
19960609,8.73,3.467,-999.0,3.2832,-999.0,27.02,27.47,26.24,82.11,2.31,4.52,2.06,99.75
19960610,9.09,4.1794,-999.0,3.192,-999.0,27.45,28.18,26.82,83.92,4.96,6.5,4.29,99.79
19960611,2.52,6.1426,-999.0,1.6584,-999.0,27.72,28.27,27.18,80.19,3.93,6.71,3.43,99.79
19960612,2.42,4.5358,-999.0,3.9936,-999.0,27.85,28.92,27.22,77.63,2.2,4.17,1.95,99.74
19960613,82.74,5.1547,-999.0,3.468,-999.0,27.33,27.96,26.84,85.76,4.21,6.5,3.62,99.72
19960614,32.24,4.4234,-999.0,3.8832,-999.0,27.29,28.11,26.17,77.62,4.48,6.33,3.87,99.9
19960615,0.01,5.4319,-999.0,3.3384,-999.0,28.23,29.27,27.55,67.49,1.76,2.63,1.6,99.85
19960616,3.78,5.4497,-999.0,3.4464,-999.0,27.77,28.26,27.25,81.29,2.26,5.35,1.99,99.86
19960617,4.28,1.6409,-999.0,1.0728,-999.0,27.0,27.87,26.04,87.05,5.42,7.73,4.6,100.03
19960618,0.99,4.4566,-999.0,4.4928,-999.0,27.97,29.75,26.16,80.04,4.3,5.46,3.71,99.94
19960619,2.3,5.556,-999.0,2.04,-999.0,27.97,28.82,27.48,77.91,2.66,4.3,2.33,100.01
19960620,1.19,5.5529,-999.0,2.9328,-999.0,27.63,28.34,27.04,78.56,2.8,3.63,2.47,100.15
19960621,0.33,5.353,-999.0,3.1296,-999.0,27.91,28.69,27.24,77.37,3.19,4.52,2.8,100.14
19960622,0.17,5.5032,-999.0,3.1656,-999.0,27.85,28.21,27.52,78.86,2.3,3.51,2.06,100.04
19960623,0.14,4.9294,-999.0,3.9312,-999.0,27.72,28.12,27.37,78.38,2.39,3.55,2.1,100.07
19960624,0.57,4.8998,-999.0,2.508,-999.0,27.28,27.76,26.88,81.62,2.07,2.5,1.83,100.1
19960625,0.88,5.4262,-999.0,3.3888,-999.0,27.08,27.5,26.61,82.37,1.85,2.53,1.65,100.09
19960626,2.74,4.3046,-999.0,3.876,-999.0,26.76,27.13,26.14,81.32,1.32,2.51,1.18,100.12
19960627,5.35,4.8756,-999.0,3.84,-999.0,26.65,27.09,26.0,83.38,3.15,4.2,2.82,100.2
19960628,9.7,4.2295,-999.0,3.9384,-999.0,27.65,28.56,26.83,81.6,2.05,3.22,1.85,100.14
19960629,5.83,4.2782,-999.0,4.188,-999.0,26.57,26.95,26.18,86.92,2.43,3.87,2.18,100.18
19960630,5.71,4.829,-999.0,3.4032,-999.0,26.91,27.66,26.01,82.08,2.33,3.85,2.11,100.18
19960701,8.42,3.5254,-999.0,3.3336,-999.0,27.28,27.89,26.55,80.48,1.87,2.27,1.73,100.04
19960702,9.68,5.0681,-999.0,3.48,-999.0,26.85,27.29,26.31,89.58,4.19,5.15,3.69,99.98
19960703,8.55,3.9,-999.0,3.648,-999.0,27.47,28.52,26.47,81.79,2.4,5.01,2.15,100.05
19960704,23.77,4.6176,-999.0,4.3488,-999.0,27.09,28.02,26.27,83.43,2.34,3.7,2.13,100.0
19960705,45.56,3.3341,-999.0,3.2736,-999.0,26.9,27.57,26.19,87.75,4.03,6.04,3.51,99.78
19960706,57.51,4.1993,-999.0,3.8952,-999.0,26.05,26.64,25.7,86.4,3.26,4.76,2.87,99.77
19960707,16.69,3.0626,-999.0,2.7432,-999.0,26.42,27.0,25.45,85.49,5.34,6.53,4.6,99.86
19960708,5.47,5.1682,-999.0,3.468,-999.0,27.66,28.88,26.42,78.6,4.65,6.04,4.01,99.81
19960709,2.49,3.4416,-999.0,3.264,-999.0,27.75,28.5,27.03,77.68,2.15,3.08,1.95,99.88
19960710,3.16,5.0681,-999.0,3.4464,-999.0,27.67,28.24,26.92,76.16,2.37,3.74,2.12,99.82
19960711,14.41,3.4042,-999.0,3.3576,-999.0,26.92,27.62,26.42,86.02,5.62,6.59,4.82,99.82
19960712,6.12,4.6198,-999.0,4.1136,-999.0,27.17,28.13,26.36,83.89,3.43,4.43,3.01,99.8
19960713,1.56,4.2442,-999.0,3.756,-999.0,28.39,29.15,27.24,71.91,2.46,3.99,2.2,99.96
19960714,3.07,5.3712,-999.0,3.7344,-999.0,28.8,29.62,27.96,70.32,2.91,4.51,2.58,100.01
19960715,18.07,2.9801,-999.0,2.676,-999.0,26.5,27.72,25.96,84.77,3.69,4.8,3.24,100.16
19960716,2.23,5.3784,-999.0,2.4384,-999.0,27.37,28.6,26.0,75.81,2.3,3.01,2.06,100.01
19960717,0.0,6.2436,-999.0,1.6992,-999.0,27.59,28.2,27.09,72.54,1.15,2.66,1.0,100.04
19960718,0.32,6.2482,-999.0,1.6224,-999.0,27.98,28.76,27.24,70.07,1.45,2.85,1.29,100.12
19960719,0.85,6.233,-999.0,1.9368,-999.0,27.49,28.18,26.82,76.63,1.94,3.15,1.69,100.09
19960720,0.09,5.9062,-999.0,2.1864,-999.0,27.5,28.41,26.51,73.38,1.68,2.13,1.48,100.08
19960721,0.1,6.229,-999.0,1.3632,-999.0,27.53,28.29,26.84,74.13,2.1,2.92,1.84,100.09
19960722,0.17,5.8836,-999.0,2.8848,-999.0,27.54,28.35,26.47,71.55,1.59,2.9,1.4,100.06
19960723,0.04,5.7552,-999.0,2.2224,-999.0,27.61,28.37,26.93,69.07,1.46,2.4,1.28,99.98
19960724,0.16,5.8207,-999.0,2.8128,-999.0,27.09,27.52,26.35,75.41,2.12,3.14,1.88,100.01
19960725,0.87,5.2891,-999.0,3.06,-999.0,26.33,26.99,25.77,81.77,1.93,2.88,1.69,100.03
19960726,1.9,4.6903,-999.0,4.1952,-999.0,25.97,26.48,25.44,79.28,1.71,2.86,1.51,100.19
